017
num-fields|65
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
21|1119|0|54|75|733|565|22|1|4|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|493.0000|67.0000|37.0000|53.3056|269.8061|164.2313|58.9528|36.7838|1110.3400|37.5996|114.3312|59.4522|89.2800|37.7388|493.5564|292.1965|124.7647|19.5992|61509.0000|11.6792|34.6624|1.6891|78.8700|3.8750|0.0000|0.1515|0.2616|0.0000|1581.0000|496.0000|1118.5786|-75.0000|10.0000|132.0730|126.7606|118.0507|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.465|Dag_20230314_1m_4x-01_000001.tif|DD743301-0532-4D6C-B5DB-CBB09F9CBAE2
22|0|87|92|90|903|1754|23|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1302.0000|85.0000|72.0000|80.0833|500.1737|248.6922|74.1628|63.4968|3447.0729|66.2491|147.2586|123.4778|138.2646|66.4206|914.9677|446.7007|134.2273|14.9168|174764.0000|15.2203|45.7942|2.0483|42.3016|4.0470|0.0000|0.2247|0.3494|0.0000|4480.5000|1308.0000|3464.9344|65.0000|30.0000|139.5376|136.3909|127.9662|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.631|Dag_20230314_1m_4x-01_000001.tif|814A9B6F-AF11-4BE1-918A-DCAB51EAC1DC
23|94|87|26|27|878|1429|23|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|205.0000|18.0000|16.0000|16.9722|51.4558|50.2394|17.2193|15.8156|357.0703|21.3222|24.6955|21.0369|22.8154|21.9640|94.1282|83.6711|125.5707|14.9960|25742.0000|1.0000|1.0000|1.1250|69.1591|4.0470|0.9320|0.9020|0.9969|0.0000|195.0000|214.0000|378.8887|-80.0000|0.0000|129.5073|126.7707|121.7024|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.631|Dag_20230314_1m_4x-01_000001.tif|41706323-8C8B-4F0B-A910-E9A60D2112E1
24|122|87|21|61|527|1106|23|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|222.0000|51.0000|9.0000|34.4722|118.0833|105.3037|55.6921|6.3764|398.4283|22.5232|85.0624|8.2318|54.8282|22.5232|216.0097|184.4002|112.2613|25.2161|24922.0000|4.9982|13.6289|1.1714|142.4615|4.0470|0.0000|0.3885|0.1799|0.0000|270.5000|222.0000|398.4283|-90.0000|-5.0000|117.6757|111.8829|110.8604|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.631|Dag_20230314_1m_4x-01_000001.tif|6951DFEC-93AF-4478-B361-F9F4F6CA6383
25|145|87|34|24|408|376|23|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|197.0000|24.0000|13.0000|19.2222|65.5980|57.2455|23.6006|11.4466|337.8304|20.7398|35.6713|15.5490|26.9314|20.7398|119.9984|96.4873|103.8274|22.3177|20454.0000|1.7382|3.1426|1.2437|143.8704|4.0470|0.5621|0.5907|0.7291|0.0000|208.0000|197.0000|337.8304|0.0000|-85.0000|110.9340|105.2741|98.1371|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.631|Dag_20230314_1m_4x-01_000001.tif|F16FE41F-2AE5-42E2-998B-FA32A3126EA9
26|181|87|25|31|840|1488|24|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|206.0000|21.0000|15.0000|18.1944|56.8701|54.5605|20.2608|14.9746|359.4857|21.3942|30.1835|19.2077|25.0512|23.6122|104.0324|91.5756|130.0728|12.7371|26795.0000|1.0814|1.0000|1.1360|49.9592|4.2190|0.8187|0.8572|0.9548|0.0000|221.0000|238.0000|437.8882|-90.0000|0.0000|133.4515|131.9466|125.0194|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.800|Dag_20230314_1m_4x-01_000001.tif|08C4D0FA-F869-4B27-B2FC-5C13E5180D1A
27|208|87|60|90|871|1482|24|1|5|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|862.0000|79.0000|47.0000|66.2778|383.8478|204.9454|74.4698|40.4546|2154.1352|52.3711|136.2828|77.7452|113.0101|52.3711|702.1727|366.6747|137.0998|14.7609|118180.0000|13.6019|40.7072|1.9150|31.0273|4.2190|0.0047|0.1799|0.3056|0.0000|2556.0000|862.0000|2154.1352|-85.0000|-10.0000|143.2471|139.1740|130.7494|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.800|Dag_20230314_1m_4x-01_000001.tif|D6E4BC4C-E6CC-44FE-98B9-A3205A194680
28|270|87|45|32|294|1454|25|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|309.0000|36.0000|22.0000|29.0833|105.6396|87.8020|28.2548|18.9806|618.0630|28.0525|57.6229|32.0127|44.9703|28.4031|193.2465|152.3843|116.3366|23.3354|35948.0000|2.8192|6.7078|1.2682|81.5402|4.3750|0.4154|0.3773|0.6923|0.0000|471.0000|315.0000|633.6078|5.0000|-90.0000|121.6796|117.3981|112.3204|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.965|Dag_20230314_1m_4x-01_000001.tif|9C3D867D-230B-4B9E-8CD9-BA2A44443E68
29|317|87|89|89|364|1262|25|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|990.0000|81.0000|72.0000|77.7222|613.1270|240.4567|67.8621|64.4813|2526.2982|56.7149|139.9415|123.4778|133.9454|56.9114|1121.5932|431.6356|108.2657|25.2568|107183.0000|30.0353|92.3478|2.5985|175.5038|4.3750|0.0000|0.3457|0.2894|0.0000|4329.5000|996.0000|2543.8352|-60.0000|55.0000|114.4283|108.1677|106.1384|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.965|Dag_20230314_1m_4x-01_000001.tif|58D6E4C0-746D-467D-92EE-221D6F149EAC
30|408|87|87|86|809|378|25|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1328.0000|80.0000|68.0000|75.0000|450.5168|232.0857|66.4434|62.6883|3524.5093|66.9891|138.1121|116.1606|128.9656|66.9891|824.1304|416.3225|131.1792|15.4284|174206.0000|12.1623|36.1812|1.9795|39.3290|4.3750|0.0445|0.2410|0.4053|0.0000|3949.0000|1328.0000|3524.5093|65.0000|35.0000|137.7455|133.4375|124.2252|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:24.965|Dag_20230314_1m_4x-01_000001.tif|090A9FF1-6877-4385-A285-8A8B3C18DA35
